AreaID,TreatmentID,score_all,score_area,diff_all_area,better_all_area,score_groupA,diff_all_groupA,better_all_groupA,score_groupB,diff_all_groupB,diff_groupA_groupB,better_all_groupB,better_groupA_groupB
163,3,70.83398114,69.1221843,2.427291659,0,71.2942591,0.255216769,0,65.6136917,5.935784262,5.680567492,0,0
163,4,90.06502973,95.7831823,-4.808404746,1,95.7414868,-4.766709243,1,95.8496264,-4.874848812,-0.108139569,1,1
163,5,73.12702251,74.997106,-1.131426733,1,76.3304281,-2.464748806,1,72.9787297,0.886949583,3.351698389,0,0
163,6,76.65337617,77.4640551,-0.036402372,1,80.5346701,-3.107017403,1,72.6544596,4.773193154,7.880210557,0,0
163,7,3.154807062,0.8519138,2.334759982,0,0.8829918,2.303681999,0,0.7843778,2.402295981,0.098613982,0,0
163,8,1.276312554,0.3929998,0.896204829,0,0.4218197,0.86738487,0,0.357754,0.931450584,0.064065715,0,0
164,1,88.32738945,91.4702852,-2.2506999,1,91.7051371,-2.485551784,1,91.2312269,-2.011641611,0.473910173,1,0
164,2,41.07998525,41.657904,-0.162969355,1,39.9251,1.569834618,0,42.7901703,-1.295235667,-2.865070285,1,1
164,3,70.83398114,72.3500395,-0.800563598,1,75.2666767,-3.717200825,1,69.3898247,2.159651203,5.876852028,0,0
164,4,90.06502973,91.452216,-0.477438411,1,91.4672132,-0.492435642,1,91.4382344,-0.463456874,0.028978768,1,0
164,5,73.12702251,75.5316039,-1.665924627,1,76.0227603,-2.157081044,1,75.0540788,-1.188399566,0.968681478,1,0
164,6,76.65337617,77.5258941,-0.098241346,1,81.8968624,-4.469209652,1,73.2853928,4.142259942,8.611469594,0,0
164,7,3.154807062,2.8377986,0.348875118,0,3.0316354,0.155038351,0,2.5302352,0.656438607,0.501400256,0,0
164,8,1.276312554,1.233421,0.05578357,0,1.1750194,0.11418514,0,1.2870153,0.002189253,-0.111995888,0,1
166,1,88.32738945,87.0537868,2.165798504,0,87.642953,1.576632301,0,85.0820623,4.137523007,2.560890706,0,0
166,2,41.07998525,40.1163462,1.378588384,0,39.1348521,2.360082524,0,42.0781729,-0.583238232,-2.943320756,1,1
166,3,70.83398114,66.578307,4.971168918,0,67.6075821,3.941893863,0,63.1450231,8.404452793,4.46255893,0,0
166,4,90.06502973,86.5573881,4.417389488,0,86.7311374,4.243640137,0,85.9678536,5.006923964,0.763283827,0,0
166,5,73.12702251,74.5089632,-0.643283925,1,74.6990715,-0.8333922,1,73.8961796,-0.030500324,0.802891876,1,0
166,6,76.65337617,78.0950051,-0.667352415,1,80.7736371,-3.345984375,1,69.4795428,7.948109911,11.29409429,0,0
166,7,3.154807062,3.1102474,0.076426354,0,3.6012411,-0.414567334,1,1.3525463,1.83412744,2.248694775,0,0
166,8,1.276312554,1.1577794,0.13142523,0,1.3338712,-0.044666644,1,0.8474808,0.441723805,0.486390449,0,0
169,1,88.32738945,86.6408023,2.578782949,0,84.3143648,4.905220478,0,87.1189907,2.10059455,-2.804625928,0,1
169,2,41.07998525,39.2356709,2.259263692,0,35.4512279,6.043706728,0,39.6526222,1.842312398,-4.20139433,0,1
169,3,70.83398114,66.4731167,5.076359188,0,71.1605457,0.388930209,0,65.5008487,6.048627174,5.659696966,0,0
169,4,90.06502973,91.0966961,-0.121918521,1,90.1542424,0.820535129,0,91.2898793,-0.315101718,-1.135636847,1,1
169,5,73.12702251,76.2238257,-2.35814644,1,78.4914048,-4.625725535,1,75.7649773,-1.899298079,2.726427456,1,0
169,6,76.65337617,72.4250536,5.002599066,0,81.7626851,-4.335032405,1,70.4906931,6.936959598,11.271992,0,0
169,7,3.154807062,3.222299,-0.035625273,1,3.2667393,-0.080065517,1,3.1927532,-0.006079445,0.073986073,1,0
169,8,1.276312554,1.3131103,-0.02390575,1,1.2362921,0.05291253,0,1.3301186,-0.040913981,-0.093826511,1,1
171,1,88.32738945,91.7345262,-2.514940908,1,91.9520419,-2.732456646,1,90.7168372,-1.497251938,1.235204707,1,0
171,2,41.07998525,40.7256583,0.769276338,0,41.0943706,0.400563981,0,39.6236381,1.871296479,1.470732498,0,0
171,3,70.83398114,75.5130343,-3.963558339,1,76.6299649,-5.080488938,1,70.2681514,1.281324514,6.361813452,0,0
171,4,90.06502973,90.409294,0.565483506,0,90.243889,0.730888557,0,91.1886972,-0.213919661,-0.944808217,1,1
171,5,73.12702251,74.2859475,-0.420268257,1,74.3414707,-0.475791437,1,74.0336676,-0.167988311,0.307803126,1,0
171,6,76.65337617,81.2825156,-3.854862916,1,83.1922591,-5.764606345,1,72.930039,4.497613659,10.26222,0,0
171,7,3.154807062,3.295533,-0.108859247,1,3.6649343,-0.478260544,1,1.5766365,1.610037255,2.088297799,0,0
171,8,1.276312554,1.2784214,0.010783163,0,1.4142243,-0.125019748,1,0.8901949,0.399009646,0.524029394,0,0
172,1,88.32738945,92.0778225,-2.85823718,1,92.0553515,-2.835766192,1,92.4610232,-3.241437901,-0.405671708,1,1
172,2,41.07998525,39.7887037,1.706230911,0,39.6852581,1.809676514,0,40.6157118,0.87922279,-0.930453724,0,1
172,3,70.83398114,82.278378,-10.72890208,1,82.6674646,-11.11798869,1,76.3918706,-4.842394656,6.275594037,1,0
172,4,90.06502973,92.3530586,-1.378281046,1,92.2416681,-1.266890534,1,94.0350615,-3.060283999,-1.793393465,1,1
172,5,73.12702251,76.182436,-2.316756708,1,76.1037075,-2.238028239,1,77.335106,-3.46942677,-1.231398531,1,1
172,6,76.65337617,79.839532,-2.411879294,1,80.6917037,-3.264050975,1,69.7015452,7.726107486,10.99015846,0,0
172,7,3.154807062,6.4929793,-3.306305569,1,6.6871598,-3.500486007,1,2.7283511,0.458322631,3.958808638,0,0
172,8,1.276312554,2.3426689,-1.053464287,1,2.3574835,-1.068278933,1,2.2324865,-0.943281949,0.124996984,1,0
174,1,88.32738945,91.0165805,-1.796995235,1,91.2555136,-2.035928368,1,89.9256701,-0.706084791,1.329843577,1,0
174,2,41.07998525,41.2281065,0.266828156,0,41.2468554,0.248079263,0,41.1488115,0.346123086,0.098043823,0,0
174,3,70.83398114,64.5700036,6.979472335,0,64.8772354,6.672240531,0,63.1694979,8.379978031,1.707737501,0,0
174,4,90.06502973,88.9109293,2.063848291,0,89.2024465,1.772331039,0,87.5827517,3.392025829,1.619694791,0,0
174,5,73.12702251,72.7380107,1.127668562,0,74.0126924,-0.1470131,1,66.872775,6.992904274,7.139917375,0,0
174,6,76.65337617,81.5495395,-4.121886824,1,82.7801272,-5.352474488,1,75.141139,2.286513692,7.63898818,0,0
174,7,3.154807062,3.8083222,-0.621648446,1,4.3030233,-1.116349555,1,2.1161045,1.070569222,2.186918777,0,0
174,8,1.276312554,1.6580514,-0.368846779,1,1.9162966,-0.627091975,1,1.0808523,0.20835226,0.835444234,0,0
177,1,88.32738945,93.3116241,-4.092038784,1,92.8707272,-3.651141873,1,93.7109823,-4.491397015,-0.840255142,1,1
177,2,41.07998525,45.8108711,-4.315936503,1,46.4612524,-4.966317758,1,45.4126117,-3.91767705,1.048640708,1,0
177,3,70.83398114,74.3197272,-2.770251252,1,75.7301096,-4.18063364,1,73.0380301,-1.488554223,2.692079417,1,0
177,4,90.06502973,91.6011052,-0.626327617,1,91.6806172,-0.705839654,1,91.5286592,-0.553881636,0.151958018,1,0
177,5,73.12702251,74.0617089,-0.196029638,1,72.6287857,1.236893561,0,75.2954127,-1.429733425,-2.666626986,1,1
177,6,76.65337617,76.897412,0.530240735,0,81.6040825,-4.176429787,1,73.0422604,4.385392339,8.561822126,0,0
177,7,3.154807062,5.3431094,-2.156435655,1,5.6704632,-2.483789481,1,4.8028758,-1.61620201,0.867587471,1,0
177,8,1.276312554,2.4178634,-1.128658775,1,2.4250209,-1.135816323,1,2.4117452,-1.122540588,0.013275735,1,0
180,1,88.32738945,89.6058331,-0.386247776,1,91.2557544,-2.036169072,1,88.9474096,0.272175727,2.3083448,0,0
180,2,41.07998525,39.1445044,2.350430263,0,39.871975,1.622959643,0,38.9549006,2.54003406,0.917074418,0,0
180,3,70.83398114,70.1511505,1.398325397,0,74.7760057,-3.226529766,1,68.2735352,3.275940718,6.502470484,0,0
180,4,90.06502973,92.1647938,-1.190016285,1,92.9073636,-1.932586047,1,91.8703114,-0.895533837,1.03705221,1,0
180,5,73.12702251,79.0173873,-5.151708043,1,79.1619012,-5.296221958,1,78.9659909,-5.10031161,0.195910347,1,0
180,6,76.65337617,71.2561573,6.171495429,0,82.0788782,-4.651225515,1,67.3411343,10.08651837,14.73774389,0,0
180,7,3.154807062,3.5949176,-0.408243841,1,3.6024852,-0.415811445,1,3.5896812,-0.403007458,0.012803987,1,0
180,8,1.276312554,1.5960334,-0.306828822,1,1.3975457,-0.108341156,1,1.6829798,-0.393775185,-0.285434028,1,1
181,1,88.32738945,89.1257013,0.093883958,0,89.1131796,0.106405678,0,89.2498722,-0.030286929,-0.136692607,1,1
181,2,41.07998525,42.7250507,-1.230116116,1,42.3036101,-0.808675488,1,45.842503,-4.347568398,-3.53889291,1,1
181,3,70.83398114,74.560921,-3.01144511,1,74.4813119,-2.931836024,1,75.3201666,-3.770690692,-0.838854668,1,1
181,4,90.06502973,90.1294329,0.845344616,0,90.1942238,0.780553727,0,89.5214852,1.453292337,0.67273861,0,0
181,5,73.12702251,75.0863755,-1.220696283,1,75.0280776,-1.16239834,1,75.6229281,-1.757248789,-0.594850449,1,1
181,6,76.65337617,81.3913115,-3.963658838,1,82.1707687,-4.743116019,1,74.4898536,2.93779915,7.680915169,0,0
181,7,3.154807062,6.1524228,-2.96574902,1,6.4572957,-3.270621895,1,3.8679597,-0.681285953,2.589335942,1,0
181,8,1.276312554,2.5637909,-1.274586314,1,2.6228599,-1.333655341,1,2.1658743,-0.876669695,0.456985646,1,0
182,1,88.32738945,86.0914496,3.128135651,0,86.2921904,2.927394846,0,85.4461897,3.773395623,0.846000777,0,0
182,2,41.07998525,38.4442227,3.050711877,0,37.3430834,4.151851269,0,40.6876035,0.807331172,-3.344520097,0,1
182,3,70.83398114,64.8674273,6.682048657,0,65.5709269,5.978549022,0,62.603053,8.946422878,2.967873856,0,0
182,4,90.06502973,86.3516431,4.623134464,0,85.2259438,5.748833737,0,89.9718046,1.00297294,-4.745860797,0,1
182,5,73.12702251,71.5389212,2.326758061,0,71.4477337,2.417945592,0,71.8173259,2.04835334,-0.369592252,0,1
